Date	Action	Direction	Protocol	Application/Service	Local IP address	Local hostname	Local port	Remote IP address	Remote hostname	Remote port	ICMP info	Kind
Dec 18, 2016, 6:32:48 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:32:48 PM	DENIED	Incoming	TCP	Port 63389	121.238.69.101	121.238.69.101	63389	61.163.228.98	61.163.228.98	6000		User-defined setting
Dec 18, 2016, 6:32:47 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	5.140.203.194	5.140.203.194	15652		User-defined setting
Dec 18, 2016, 6:32:47 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	115.60.69.13	115.60.69.13	11043		User-defined setting
Dec 18, 2016, 6:32:46 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	113.139.191.115	113.139.191.115	32534		User-defined setting
Dec 18, 2016, 6:32:44 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:32:40 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:32:38 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	36.5.41.69	36.5.41.69	28228		User-defined setting
Dec 18, 2016, 6:32:37 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	36.5.41.69	36.5.41.69	28228		User-defined setting
Dec 18, 2016, 6:32:37 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	36.5.41.69	36.5.41.69	28228		User-defined setting
Dec 18, 2016, 6:32:36 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:32:35 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	36.5.41.69	36.5.41.69	25927		User-defined setting
Dec 18, 2016, 6:32:32 PM	DENIED	Incoming	TCP	Remote Login (Telnet)	121.238.69.101	121.238.69.101	23	177.64.212.197	177.64.212.197	13440		User-defined setting
Dec 18, 2016, 6:32:32 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:32:30 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	36.5.41.69	36.5.41.69	25927		User-defined setting
Dec 18, 2016, 6:32:29 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	116.226.231.236	116.226.231.236	26723		User-defined setting
Dec 18, 2016, 6:32:22 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	27.219.193.112	27.219.193.112	1441		User-defined setting
Dec 18, 2016, 6:32:15 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	121.30.69.196	121.30.69.196	9319		User-defined setting
Dec 18, 2016, 6:32:10 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	36.5.182.124	36.5.182.124	22639		User-defined setting
Dec 18, 2016, 6:32:09 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	121.30.69.196	121.30.69.196	9319		User-defined setting
